National Plastic & Building Material,UAE,info@national-plastic.com; npbmi@emirates.net.ae,+971 6 533 1830,Plastics,https://national-plastic.com/
Interplast Co. Ltd.,UAE,Website Unreachable,+971 6 533 9090,Plastics,https://www.interplast.ae/
Milacron (UAE),UAE,info@milacron.com,+971 4 883 5500,Plastics,https://www.milacron.com/
Polymer Asia,Vietnam,vinh@azazen.com; info@polymerasia.com; infospam@polymerasiaspam.com,+84 28 3841 1910,Polymers,https://www.polymerasia.com/
Vietnam Poly Corp,Vietnam,Website Unreachable,+84 24 3767 5588,Polymers,http://vietnampoly.com.vn/
Stavian Chemical,Vietnam,Website Unreachable,+84 24 3942 6511,Polymers,https://stavianchemical.com/
An Phat Bioplastics,Vietnam,anphat@anphatbioplastics.com; ir@anphatholdings.vn; sales8@anthanhbicsol.com; sales3@anphatbioplastics.com; sales28@anphatbioplastics.com,+84 220 3755 888,Polymers,https://anphatbioplastics.com/
Europlas (Vietnam),Vietnam,Manual Search Required,+84 24 3376 0451,Polymers,https://europlas.com.vn/
Borouge,UAE,info@borouge.com; name@example.com; ces@borouge.com; ir@borouge.com; IR@borouge.com,+971 2 607 0888,Polymers,https://www.borouge.com/
EQUATE Petrochemical,Kuwait,information@equate.com,+965 1898 888,Polymers,https://www.equate.com/
SABIC (Global),Saudi Arabia,IR@SABIC.COM,+966 11 225 8000,Polymers,https://www.sabic.com/
Qatar Petrochemical (QAPCO),Qatar,Website Unreachable,+974 4477 7111,Polymers,https://www.qapco.com/
Oman Oil (OQ),Oman,business.center@oq.com,+968 2457 3100,Polymers,https://oq.com/
Italian Company Lubricants Spa,Italy,cil@compagniaitalianalubrificanti.it; ufficiotecnico@compagniaitalianalubrificanti.it,+39 02 345531,Lubricants,http://www.compagniaitalianalubrificanti.com
Società Internazionale Lubrificanti Spa,Italy,info@slilubricants.com,+39 0143 677767,Lubricants,http://www.slilubricants.com/
Klüber Lubrication Italia,Italy,Manual Search Required,+39 02 982131,Lubricants,https://www.klueber.com/it/it/
Lubra Spa,Italy,info@lubra.com,+39 02 936 1171,Lubricants,http://www.lubra.com/
Petronas Lubricants Italy Spa,Italy,Manual Search Required,+39 390 292 4361,Lubricants,http://www.arexons.com/
Gl Oil SPA,Italy,Manual Search Required,+39 081 826 9629,Lubricants,https://www.gloil.it/
M.A. Lubricants S.r.l.,Italy,info@malubricants.it; malubricants@registro-pec.it,+39 02 353 4144,Lubricants,http://www.malubricants.it/
Rilub S.P.A.,Italy,rilub@rilub.it; rilubspa@pec.it,+39 081 338 3411,Lubricants,https://rilub.it/
Lubritex srl,Italy,Manual Search Required,+39 011 962 3011,Lubricants,http://www.lubritex.com/
AkzoNobel Korea,South Korea,sourcing@akzonobel.com; sustainability@akzonobel.com,+82 55-585-3301,Paints,http://www.akzonobel.com/
KCC corporation Korea,South Korea,Manual Search Required,+82 2-3480-5000,Paints,http://www.kccworld.co.kr/
Samhwa Paints Korea,South Korea,Manual Search Required,+82 31-499-0394,Paints,http://www.samhwa.com/
Noroo Paint & Coatings Korea,South Korea,Website Unreachable,+82 31-467-6114,Paints,http://www.noroopaint.com/
Kangnam Jevisco Korea,South Korea,hanjoo@kangnam.co.kr,+82 2-3270-0700,Paints,http://www.jevisco.com/
May Tat Plastics Singapore,Singapore,Website Unreachable,+65 6748 0616,Plastics,http://www.maytatplastics.com/
Laiwa Plastic Singapore,Singapore,sales@laiwaplastic.com,+65 6566 7478,Plastics,http://laiwaplastic.com/
Singa Plastics Singapore,Singapore,Manual Search Required,+65 6265 0922,Plastics,https://www.singaplastics.com/
Asia Plastic Singapore,Singapore,Website Unreachable,+65 6265 0885,Plastics,http://www.asiaplastic.com.sg/
Plstopia China,China,Manual Search Required,+852 3075 6610,Plastics,http://www.plastopia.com/
Foodchem China,China,sales@foodchem.cn,+86 21 3126 7000,Plastics,https://www.foodchem.cn/
Dow Chemical China,China,Manual Search Required,+86 21 3851 1000,Plastics,http://www.dow.com/
PPG France,France,Manual Search Required,+33 1 41 47 23 00,Paints,https://fr.ppgrefinish.com/
BASF Coatings France,France,cert@basf.com; info-coatings@basf.com; susanne.focken@basf.com; marie.lechtenberg@basf.com; wcm-hosting@basf.com,+33 1 34 32 51 00,Paints,https://www.basf-coatings.com/
Prima Coating France,France,contact@primacoating.fr; 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,+33 7 80 34 54 02,Paints,https://www.primacoating.com/
